"C贸digo r茅gimen","C贸digo departamento","C贸digo localidad","Padr贸n","Bloc / Manzana","EP / SS","Unidad","Nivel","Area construida","A帽o de construcci贸n","A帽o remanente","EP/SS uso exclusivo","Unidad uso explusivo","Destinos","Categor铆a de construcci贸n","Estado conservaci贸n","Tipo de cubierta","Indicador cielorraso","Tipo de obra"
"CO","B","EH",145,"","",0,0,128,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",164,"","",0,0,64,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",165,"","",0,0,64,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",166,"","",0,0,110,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",173,"","",0,0,350,0,0,NA,0,"VIVIENDA","Muy confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",176,"","",0,0,33,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",195,"","",0,0,254,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",195,"","",0,0,39,0,0,NA,0,"DEPOSITO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",196,"","",0,0,119,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",196,"","",0,0,29,0,0,NA,0,"DEPOSITO","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",197,"","",0,0,33,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",200,"","",0,0,80,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",200,"","",0,0,18,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",200,"","",0,0,76,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",200,"","",0,0,23,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",209,"","",0,0,59,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",209,"","",0,0,32,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",209,"","",0,0,9,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",210,"","",0,0,58,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",211,"","",0,0,91,1960,0,NA,0,"VIVIENDA","Comun","Regular","Liviana con cielorraso",NA,"Original"
"CO","B","EH",212,"","",0,0,61,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",214,"","",0,0,105,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",214,"","",0,0,19,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",217,"","",0,0,74,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",217,"","",0,0,10,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",219,"","",0,0,76,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",221,"","",0,0,100,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",221,"","",0,0,22,0,0,NA,0,"DEPOSITO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",227,"","",0,0,93,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",227,"","",0,0,40,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",232,"","",0,0,177,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",232,"","",0,0,25,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
